,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.5957446808510638,0.2074074074074074,0.30769230769230765,135.0
b'\xc2\xa3',0.6,0.574468085106383,0.5869565217391305,47.0
b'\xc2\xa4',0.8261877172653534,0.8696889611709697,0.847380410022779,4919.0
b'\xc2\xa5',0.7646908533469596,0.8625360230547551,0.8106717226435537,3470.0
b'\xc2\xa6',0.7868037703513282,0.72954075957413,0.7570910290237467,6293.0
b'\xc2\xa7',0.38225806451612904,0.27611650485436895,0.3206313416009019,2575.0
accuracy,0.7241240896840415,0.7241240896840415,0.7241240896840415,0.7241240896840415
macro avg,0.5650978694758335,0.5028225344525734,0.5186319046746313,17439.0
weighted avg,0.7317960214007144,0.7241240896840415,0.7248362912325329,17439.0
