,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.5625,0.2,0.2950819672131148,135.0
b'\xc2\xa3',0.5,0.02127659574468085,0.04081632653061224,47.0
b'\xc2\xa4',0.8451345755693582,0.8298434641187233,0.8374192224843574,4919.0
b'\xc2\xa5',0.8235112619561864,0.769164265129683,0.7954105200417225,3470.0
b'\xc2\xa6',0.794341675734494,0.8120133481646273,0.8030803080308031,6293.0
b'\xc2\xa7',0.3010204081632653,0.0229126213592233,0.04258390472753519,2575.0
accuracy,0.6851310281552841,0.6851310281552841,0.6851310281552841,0.6851310281552841
macro avg,0.5466439887747577,0.37931575635956255,0.40205603557544933,17439.0
weighted avg,0.7390422772309891,0.6851310281552841,0.6929601482870169,17439.0
