,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.6136363636363636,0.2,0.3016759776536313,135.0
b'\xc2\xa3',0.6829268292682927,0.5957446808510638,0.6363636363636364,47.0
b'\xc2\xa4',0.7909120842937108,0.9766212644846514,0.8740107341035205,4919.0
b'\xc2\xa5',0.8206604059375947,0.7806916426512969,0.8001772264067347,3470.0
b'\xc2\xa6',0.8314643263448724,0.8129667884951534,0.8221115217740639,6293.0
b'\xc2\xa7',0.5579178885630498,0.2955339805825243,0.3863924854023864,2575.0
accuracy,0.7709731062560926,0.7709731062560926,0.7709731062560926,0.7709731062560926
macro avg,0.6139311282919835,0.5230797652949557,0.5458187973862819,17439.0
weighted avg,0.7753982562101538,0.7709731062560926,0.7635195585190806,17439.0
