,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.3881278538812785,0.7589285714285714,0.513595166163142,112.0
b'\xc2\xa3',0.375,0.08823529411764706,0.14285714285714285,34.0
b'\xc2\xa4',0.7938356164383562,0.401038062283737,0.5328735632183909,5780.0
b'\xc2\xa5',0.9415204678362573,0.1416630004399472,0.2462715105162524,2273.0
b'\xc2\xa6',0.8654019873532068,0.2345452319745379,0.36906481749012815,8169.0
b'\xc2\xa7',0.19194724054147866,0.26883811375789984,0.22397731875253138,2057.0
accuracy,0.2820624151967436,0.2820624151967436,0.2820624151967436,0.2820624151967436
macro avg,0.5079761665786539,0.2704640391431915,0.28980564557108396,18425.0
weighted avg,0.7733498243974155,0.2820624151967436,0.38956721731473376,18425.0
