,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.5476190476190477,0.20535714285714285,0.29870129870129875,112.0
b'\xc2\xa3',0.5,0.058823529411764705,0.10526315789473684,34.0
b'\xc2\xa4',0.8396641343462615,0.726643598615917,0.7790762381747356,5780.0
b'\xc2\xa5',0.979757085020243,0.10646722393312802,0.19206349206349205,2273.0
b'\xc2\xa6',0.8775814879323215,0.43175419267964255,0.5787659993436167,8169.0
b'\xc2\xa7',0.2943201376936317,0.08313077297034516,0.12964366944655042,2057.0
accuracy,0.44314789687924017,0.44314789687924017,0.44314789687924017,0.44314789687924017
macro avg,0.5769916989445008,0.2303109229239915,0.2976448365177758,18425.0
weighted avg,0.8104727046003078,0.44314789687924017,0.5411815980256617,18425.0
