,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.7368421052631579,0.17721518987341772,0.2857142857142857,79.0
b'\xc2\xa3',0.6521739130434783,0.4411764705882353,0.5263157894736842,34.0
b'\xc2\xa4',0.8,0.9764658954926206,0.879468295311658,2507.0
b'\xc2\xa5',0.8245920745920746,0.7967342342342343,0.8104238258877435,1776.0
b'\xc2\xa6',0.8480692890653194,0.7735352205398288,0.8090893441211912,3038.0
b'\xc2\xa7',0.491183879093199,0.32608695652173914,0.3919597989949749,1196.0
accuracy,0.7684820393974507,0.7684820393974507,0.7684820393974507,0.7684820393974507
macro avg,0.6218373230081756,0.4987448524642966,0.5289959056433625,8630.0
weighted avg,0.7780243781472421,0.7684820393974507,0.7660953932299723,8630.0
