CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau
200551,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200578,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200581,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200596,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200611,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200614,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200632,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200644,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200653,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
200662,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200710,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200716,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200719,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200725,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200770,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200775,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
200811,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
200814,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
200856,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
200871,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200874,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200880,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200886,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200907,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200922,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200931,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200937,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200952,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
200970,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
200982,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
200991,2,b'\xc2\xa3',b'',0.0,0.0,0.0
201000,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201006,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201015,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201030,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201060,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201072,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201078,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201084,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201087,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201099,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
201102,2,b'\xc2\xa3',b'',0.0,0.0,0.0
201111,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201120,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201123,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201141,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201144,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
201150,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201159,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201162,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201171,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201214,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201238,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201244,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201250,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201256,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
201304,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201307,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
201310,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201313,2,b'\xc2\xa7',b'\xc2\xa6',0.0,0.0,0.0
201316,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201319,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
201322,2,b'\xc2\xa7',b'\xc2\xa6',0.0,0.0,0.0
201328,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
201331,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
201337,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201394,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201400,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201424,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201430,2,b'\xc2\xa6',b'\xc2\xa6',1.0,1.0,1.0
201436,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201445,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201469,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
201478,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201484,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201487,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201490,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201526,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201538,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201541,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201556,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201559,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201605,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201611,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201629,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201635,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201674,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201680,2,b'\xc2\xa6',b'\xc2\xa4',0.0,0.0,0.0
201701,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201722,2,b'\xc2\xa4',b'\xc2\xa4',1.0,1.0,1.0
201731,2,b'\xc2\xa2',b'\xc2\xa4',0.0,0.0,0.0
