,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.8181818181818182,0.22784810126582278,0.3564356435643564,79.0
b'\xc2\xa3',0.0,0.0,0.0,34.0
b'\xc2\xa4',0.8545090180360722,0.8504188272836058,0.8524590163934427,2507.0
b'\xc2\xa5',0.8421052631578947,0.7837837837837838,0.8118985126859143,1776.0
b'\xc2\xa6',0.8001885014137606,0.8383805134957208,0.8188394148850667,3038.0
b'\xc2\xa7',0.42105263157894735,0.006688963210702341,0.013168724279835392,1196.0
accuracy,0.7064889918887601,0.7064889918887601,0.7064889918887601,0.7064889918887601
macro avg,0.5337196046240704,0.3867314555770908,0.40754304454408796,8630.0
weighted avg,0.7690638509715693,0.7064889918887601,0.708063599667398,8630.0
