,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,28.0
b'\xc2\xa3',0.0,0.0,0.0,1.0
b'\xc2\xa4',0.0,0.0,0.0,1.0
b'\xc2\xa5',0.0,0.0,0.0,1.0
b'\xc2\xaa',0.0,0.0,0.0,1.0
b'\xc2\xb6',0.0,0.0,0.0,28.0
b'\xc2\xb7',0.0,0.0,0.0,28.0
b'\xc2\xb8',0.0,0.0,0.0,15.0
b'\xc2\xb9',0.0,0.0,0.0,16.0
b'\xc2\xba',0.5922330097087378,0.19614147909967847,0.2946859903381642,311.0
b'\xc2\xbb',0.9942196531791907,0.5791245791245792,0.7319148936170213,297.0
b'\xc2\xbc',0.7884615384615384,0.2751677852348993,0.4079601990049751,298.0
b'\xc2\xbd',0.6986301369863014,0.2056451612903226,0.31775700934579443,248.0
b'\xc2\xbf',0.0,0.0,0.0,26.0
b'\xc3\x80',0.0,0.0,0.0,18.0
b'\xc3\x82',0.0,0.0,0.0,299.0
b'\xc3\x83',0.0,0.0,0.0,243.0
b'\xc3\x84',0.0,0.0,0.0,68.0
b'\xc3\x85',0.0,0.0,0.0,68.0
b'\xc3\x87',0.0,0.0,0.0,8.0
b'\xc3\x88',0.0,0.0,0.0,49.0
b'\xc3\x89',0.0,0.0,0.0,171.0
b'\xc3\x8a',0.0,0.0,0.0,5.0
b'\xc3\x8b',0.0,0.0,0.0,6.0
b'\xc3\x8c',0.0,0.0,0.0,267.0
b'\xc3\x8d',0.0,0.0,0.0,224.0
b'\xc3\x8e',0.0,0.0,0.0,82.0
b'\xc3\x8f',0.0,0.0,0.0,83.0
b'\xc3\x96',1.0,0.05776173285198556,0.10921501706484643,277.0
b'\xc3\x97',0.0,0.0,0.0,16.0
b'\xc3\x98',0.0,0.0,0.0,17.0
b'\xc3\x99',0.0,0.0,0.0,17.0
b'\xc3\x9d',0.0,0.0,0.0,58.0
b'\xc3\xa0',0.0,0.0,0.0,239.0
b'\xc3\xa1',0.0,0.0,0.0,172.0
b'\xc3\xa2',0.0,0.0,0.0,1.0
b'\xc3\xa3',0.0,0.0,0.0,238.0
b'\xc3\xa5',0.0,0.0,0.0,1.0
b'\xc3\xa6',0.0,0.0,0.0,1.0
b'\xc3\xa8',0.0,0.0,0.0,239.0
b'\xc3\xa9',0.0,0.0,0.0,238.0
b'\xc3\xaf',1.0,0.02100840336134454,0.041152263374485604,238.0
b'\xc3\xb0',0.0,0.0,0.0,1.0
b'\xc3\xb1',0.0,0.0,0.0,1.0
b'\xc3\xb4',0.0,0.0,0.0,238.0
b'\xc3\xb5',0.0,0.0,0.0,238.0
b'\xc3\xb6',0.972972972972973,0.15254237288135594,0.26373626373626374,236.0
b'\xc3\xb9',0.0,0.0,0.0,1.0
b'\xc3\xbc',0.0,0.0,0.0,1.0
b'\xc3\xbd',1.0,0.19545454545454546,0.32699619771863114,220.0
b'\xc3\xbe',0.0,0.0,0.0,12.0
b'\xc3\xbf',0.0,0.0,0.0,18.0
b'\xc4\x80',0.0,0.0,0.0,18.0
b'\xc4\x81',0.0,0.0,0.0,18.0
b'\xc4\x82',0.0,0.0,0.0,6.0
b'\xc4\x83',0.0,0.0,0.0,1.0
b'\xc4\x84',0.0,0.0,0.0,1.0
b'\xc4\x85',0.0,0.0,0.0,18.0
b'\xc4\x86',0.0,0.0,0.0,6.0
b'\xc4\x87',0.0,0.0,0.0,18.0
b'\xc4\x89',0.0,0.0,0.0,18.0
b'\xc4\x8a',0.0,0.0,0.0,1.0
b'\xc4\x8b',0.0,0.0,0.0,12.0
b'\xc4\x8c',0.0,0.0,0.0,12.0
b'\xc4\x8d',0.0,0.0,0.0,18.0
b'\xc4\x8e',0.0,0.0,0.0,18.0
b'\xc4\x90',0.4931506849315068,0.1643835616438356,0.2465753424657534,219.0
b'\xc4\x91',0.0,0.0,0.0,177.0
b'\xc4\x92',0.5942028985507246,0.17672413793103448,0.2724252491694352,232.0
b'\xc4\x93',1.0,0.13793103448275862,0.2424242424242424,232.0
b'\xc4\x94',0.0,0.0,0.0,18.0
b'\xc4\x95',0.0,0.0,0.0,29.0
b'\xc4\x96',0.0,0.0,0.0,231.0
b'\xc4\x97',0.0,0.0,0.0,156.0
b'\xc4\x98',0.0,0.0,0.0,200.0
b'\xc4\x99',0.0,0.0,0.0,49.0
b'\xc4\x9a',0.0,0.0,0.0,203.0
b'\xc4\x9b',0.0,0.0,0.0,58.0
b'\xc4\x9c',0.0,0.0,0.0,14.0
b'\xc4\x9d',0.0,0.0,0.0,14.0
b'\xc4\x9e',0.0,0.0,0.0,58.0
b'\xc4\x9f',0.0,0.0,0.0,159.0
b'\xc4\xa0',0.0,0.0,0.0,230.0
b'\xc4\xa1',0.0,0.0,0.0,1.0
b'\xc4\xa2',0.0,0.0,0.0,1.0
b'\xc4\xa3',0.0,0.0,0.0,1.0
b'\xc4\xa4',0.0,0.0,0.0,229.0
b'\xc4\xa6',0.0,0.0,0.0,174.0
b'\xc4\xa7',0.0,0.0,0.0,222.0
b'\xc4\xa8',0.0,0.0,0.0,171.0
b'\xc4\xa9',0.0,0.0,0.0,224.0
b'\xc4\xaa',0.0,0.0,0.0,225.0
b'\xc4\xab',0.0,0.0,0.0,219.0
b'\xc4\xac',0.0,0.0,0.0,225.0
b'\xc4\xad',0.0,0.0,0.0,8.0
b'\xc4\xae',0.0,0.0,0.0,61.0
b'\xc4\xaf',0.0,0.0,0.0,145.0
b'\xc4\xb0',0.0,0.0,0.0,6.0
b'\xc4\xb1',0.0,0.0,0.0,1.0
b'\xc4\xb2',0.0,0.0,0.0,1.0
b'\xc4\xbd',0.0,0.0,0.0,2.0
b'\xc4\xbe',0.0,0.0,0.0,4.0
b'\xc4\xbf',0.0,0.0,0.0,10.0
b'\xc5\x80',0.0,0.0,0.0,33.0
b'\xc5\x81',0.0,0.0,0.0,46.0
b'\xc5\x82',0.0,0.0,0.0,30.0
b'\xc5\x83',0.0,0.0,0.0,45.0
b'\xc5\x84',0.0,0.0,0.0,45.0
b'\xc5\x85',0.0,0.0,0.0,43.0
b'\xc5\x88',0.9752066115702479,0.3818770226537217,0.5488372093023256,309.0
b'\xc5\x89',0.0,0.0,0.0,1.0
b'\xc5\x8a',0.0,0.0,0.0,2.0
b'\xc5\x8b',0.0,0.0,0.0,1.0
b'\xc5\x8c',0.0,0.0,0.0,1.0
b'\xc5\x8d',0.0,0.0,0.0,2.0
b'\xc5\x8e',0.0,0.0,0.0,2.0
b'\xc5\x90',0.0,0.0,0.0,2.0
b'\xc5\x91',0.0,0.0,0.0,2.0
b'\xc5\x92',0.0,0.0,0.0,5.0
b'\xc5\x93',0.0,0.0,0.0,28.0
b'\xc5\x94',0.968,0.39672131147540984,0.5627906976744186,305.0
b'\xc5\x95',0.0,0.0,0.0,8.0
b'\xc5\x96',0.0,0.0,0.0,8.0
b'\xc5\x97',0.0,0.0,0.0,8.0
b'\xc5\x98',0.0,0.0,0.0,8.0
b'\xc5\x99',0.0,0.0,0.0,5.0
b'\xc5\x9a',0.0,0.0,0.0,2.0
b'\xc5\x9b',0.0,0.0,0.0,2.0
b'\xc5\x9c',0.0,0.0,0.0,1.0
b'\xc5\x9d',0.0,0.0,0.0,2.0
b'\xc5\x9e',0.0,0.0,0.0,21.0
b'\xc5\x9f',0.0,0.0,0.0,11.0
b'\xc5\xa0',0.0,0.0,0.0,4.0
b'\xc5\xa1',0.0,0.0,0.0,18.0
b'\xc5\xa2',0.0,0.0,0.0,21.0
b'\xc5\xa3',0.0,0.0,0.0,15.0
b'\xc5\xa4',0.0,0.0,0.0,15.0
b'\xc5\xa5',0.0,0.0,0.0,15.0
b'\xc5\xa8',0.0,0.0,0.0,1.0
b'\xc5\xa9',0.0,0.0,0.0,16.0
b'\xc5\xab',0.0,0.0,0.0,32.0
b'\xc5\xae',0.0,0.0,0.0,32.0
b'\xc5\xaf',0.0,0.0,0.0,28.0
b'\xc5\xb0',0.0,0.0,0.0,32.0
b'\xc5\xb1',0.0,0.0,0.0,32.0
b'\xc5\xb2',0.0,0.0,0.0,11.0
b'\xc5\xb3',0.0,0.0,0.0,13.0
b'\xc5\xb4',0.0,0.0,0.0,32.0
