,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,43.0
b'\xc2\xa3',0.0,0.0,0.0,2.0
b'\xc2\xa4',0.0,0.0,0.0,2.0
b'\xc2\xa5',0.0,0.0,0.0,2.0
b'\xc2\xa6',0.0,0.0,0.0,1.0
b'\xc2\xa9',0.0,0.0,0.0,1.0
b'\xc2\xaa',0.0,0.0,0.0,9.0
b'\xc2\xab',0.0,0.0,0.0,1.0
b'\xc2\xac',0.0,0.0,0.0,1.0
b'\xc2\xad',0.0,0.0,0.0,1.0
b'\xc2\xae',0.0,0.0,0.0,1.0
b'\xc2\xb0',0.0,0.0,0.0,4.0
b'\xc2\xb1',0.0,0.0,0.0,1.0
b'\xc2\xb2',0.0,0.0,0.0,3.0
b'\xc2\xb4',0.0,0.0,0.0,8.0
b'\xc2\xb5',0.0,0.0,0.0,1.0
b'\xc2\xb6',0.0,0.0,0.0,45.0
b'\xc2\xb7',0.0,0.0,0.0,34.0
b'\xc2\xb8',0.0,0.0,0.0,15.0
b'\xc2\xb9',0.0,0.0,0.0,21.0
b'\xc2\xba',0.5932914046121593,0.5260223048327137,0.5576354679802955,538.0
b'\xc2\xbb',0.9748201438848921,0.464041095890411,0.62877030162413,584.0
b'\xc2\xbc',0.0,0.0,0.0,580.0
b'\xc2\xbd',0.0,0.0,0.0,524.0
b'\xc2\xbe',0.0,0.0,0.0,72.0
b'\xc2\xbf',0.0,0.0,0.0,210.0
b'\xc3\x80',0.0,0.0,0.0,128.0
b'\xc3\x81',0.0,0.0,0.0,72.0
b'\xc3\x82',0.0,0.0,0.0,358.0
b'\xc3\x83',0.0,0.0,0.0,243.0
b'\xc3\x84',0.0,0.0,0.0,351.0
b'\xc3\x85',0.0,0.0,0.0,347.0
b'\xc3\x86',0.0,0.0,0.0,1.0
b'\xc3\x87',0.0,0.0,0.0,36.0
b'\xc3\x88',0.0,0.0,0.0,99.0
b'\xc3\x89',0.0,0.0,0.0,172.0
b'\xc3\x8a',0.0,0.0,0.0,11.0
b'\xc3\x8b',0.0,0.0,0.0,6.0
b'\xc3\x8c',0.0,0.0,0.0,530.0
b'\xc3\x8d',0.0,0.0,0.0,224.0
b'\xc3\x8e',0.0,0.0,0.0,140.0
b'\xc3\x8f',0.0,0.0,0.0,165.0
b'\xc3\x90',0.0,0.0,0.0,202.0
b'\xc3\x91',0.0,0.0,0.0,176.0
b'\xc3\x92',0.0,0.0,0.0,21.0
b'\xc3\x93',0.0,0.0,0.0,1.0
b'\xc3\x94',0.0,0.0,0.0,1.0
b'\xc3\x95',0.0,0.0,0.0,1.0
b'\xc3\x96',0.0,0.0,0.0,534.0
b'\xc3\x97',0.0,0.0,0.0,20.0
b'\xc3\x98',0.0,0.0,0.0,40.0
b'\xc3\x99',0.0,0.0,0.0,41.0
b'\xc3\x9a',0.0,0.0,0.0,35.0
b'\xc3\x9b',0.0,0.0,0.0,10.0
b'\xc3\x9c',0.0,0.0,0.0,9.0
b'\xc3\x9d',0.0,0.0,0.0,86.0
b'\xc3\xa0',0.0,0.0,0.0,472.0
b'\xc3\xa1',0.0,0.0,0.0,254.0
b'\xc3\xa2',0.0,0.0,0.0,1.0
b'\xc3\xa3',0.0,0.0,0.0,460.0
b'\xc3\xa5',0.0,0.0,0.0,4.0
b'\xc3\xa6',0.0,0.0,0.0,16.0
b'\xc3\xa7',0.0,0.0,0.0,15.0
b'\xc3\xa8',0.0,0.0,0.0,324.0
b'\xc3\xa9',0.0,0.0,0.0,323.0
b'\xc3\xaa',0.0,0.0,0.0,148.0
b'\xc3\xab',0.0,0.0,0.0,148.0
b'\xc3\xac',0.0,0.0,0.0,19.0
b'\xc3\xad',0.0,0.0,0.0,1.0
b'\xc3\xae',0.0,0.0,0.0,1.0
b'\xc3\xaf',0.0,0.0,0.0,437.0
b'\xc3\xb0',0.0,0.0,0.0,3.0
b'\xc3\xb1',0.0,0.0,0.0,1.0
b'\xc3\xb2',0.0,0.0,0.0,2.0
b'\xc3\xb3',0.0,0.0,0.0,2.0
b'\xc3\xb4',0.0,0.0,0.0,468.0
b'\xc3\xb5',0.0,0.0,0.0,468.0
b'\xc3\xb6',0.0,0.0,0.0,465.0
b'\xc3\xb8',0.0,0.0,0.0,3.0
b'\xc3\xb9',0.0,0.0,0.0,1.0
b'\xc3\xba',0.0,0.0,0.0,1.0
b'\xc3\xbb',0.0,0.0,0.0,1.0
b'\xc3\xbc',0.0,0.0,0.0,4.0
b'\xc3\xbd',0.0,0.0,0.0,422.0
b'\xc3\xbe',0.0,0.0,0.0,12.0
b'\xc3\xbf',0.0,0.0,0.0,47.0
b'\xc4\x80',0.0,0.0,0.0,47.0
b'\xc4\x81',0.0,0.0,0.0,47.0
b'\xc4\x82',0.0,0.0,0.0,7.0
b'\xc4\x83',0.0,0.0,0.0,1.0
b'\xc4\x84',0.0,0.0,0.0,1.0
b'\xc4\x85',0.0,0.0,0.0,47.0
b'\xc4\x86',0.0,0.0,0.0,7.0
b'\xc4\x87',0.0,0.0,0.0,31.0
b'\xc4\x88',0.0,0.0,0.0,4.0
b'\xc4\x89',0.0,0.0,0.0,30.0
b'\xc4\x8a',0.0,0.0,0.0,1.0
b'\xc4\x8b',0.0,0.0,0.0,12.0
b'\xc4\x8c',0.0,0.0,0.0,12.0
b'\xc4\x8d',0.0,0.0,0.0,46.0
b'\xc4\x8e',0.0,0.0,0.0,46.0
b'\xc4\x8f',0.0,0.0,0.0,24.0
b'\xc4\x90',0.0,0.0,0.0,421.0
b'\xc4\x91',0.0,0.0,0.0,177.0
b'\xc4\x92',0.0,0.0,0.0,457.0
b'\xc4\x93',0.0,0.0,0.0,413.0
b'\xc4\x94',0.0,0.0,0.0,18.0
b'\xc4\x95',0.0,0.0,0.0,108.0
b'\xc4\x96',0.0,0.0,0.0,323.0
b'\xc4\x97',0.0,0.0,0.0,156.0
b'\xc4\x98',0.0,0.0,0.0,238.0
b'\xc4\x99',0.0,0.0,0.0,49.0
b'\xc4\x9a',0.0,0.0,0.0,345.0
b'\xc4\x9b',0.0,0.0,0.0,62.0
b'\xc4\x9c',0.0,0.0,0.0,15.0
b'\xc4\x9d',0.0,0.0,0.0,15.0
b'\xc4\x9e',0.0,0.0,0.0,62.0
b'\xc4\x9f',0.0,0.0,0.0,159.0
b'\xc4\xa0',0.0,0.0,0.0,451.0
b'\xc4\xa1',0.0,0.0,0.0,1.0
b'\xc4\xa2',0.0,0.0,0.0,1.0
b'\xc4\xa3',0.0,0.0,0.0,1.0
b'\xc4\xa4',0.0,0.0,0.0,279.0
b'\xc4\xa5',0.0,0.0,0.0,72.0
b'\xc4\xa6',0.0,0.0,0.0,174.0
b'\xc4\xa7',0.0,0.0,0.0,444.0
b'\xc4\xa8',0.0,0.0,0.0,169.0
b'\xc4\xa9',0.0,0.0,0.0,444.0
b'\xc4\xaa',0.0,0.0,0.0,274.0
b'\xc4\xab',0.0,0.0,0.0,267.0
b'\xc4\xac',0.0,0.0,0.0,274.0
b'\xc4\xad',0.0,0.0,0.0,6.0
b'\xc4\xae',0.0,0.0,0.0,108.0
b'\xc4\xaf',0.0,0.0,0.0,192.0
b'\xc4\xb0',0.0,0.0,0.0,178.0
b'\xc4\xb1',0.0,0.0,0.0,1.0
b'\xc4\xb2',0.0,0.0,0.0,137.0
b'\xc4\xbb',0.0,0.0,0.0,3.0
b'\xc4\xbc',0.0,0.0,0.0,3.0
b'\xc4\xbd',0.0,0.0,0.0,4.0
b'\xc4\xbe',0.0,0.0,0.0,4.0
b'\xc4\xbf',0.0,0.0,0.0,10.0
b'\xc5\x80',0.0,0.0,0.0,33.0
b'\xc5\x81',0.0,0.0,0.0,82.0
b'\xc5\x82',0.0,0.0,0.0,30.0
b'\xc5\x83',0.0,0.0,0.0,56.0
b'\xc5\x84',0.0,0.0,0.0,55.0
b'\xc5\x85',0.0,0.0,0.0,70.0
b'\xc5\x88',0.0,0.0,0.0,521.0
b'\xc5\x89',0.0,0.0,0.0,1.0
b'\xc5\x8a',0.0,0.0,0.0,5.0
b'\xc5\x8b',0.0,0.0,0.0,5.0
b'\xc5\x8c',0.0,0.0,0.0,1.0
b'\xc5\x8d',0.0,0.0,0.0,5.0
b'\xc5\x8e',0.0,0.0,0.0,6.0
b'\xc5\x90',0.0,0.0,0.0,5.0
b'\xc5\x91',0.0,0.0,0.0,5.0
b'\xc5\x92',0.0,0.0,0.0,71.0
b'\xc5\x93',0.0,0.0,0.0,28.0
b'\xc5\x94',0.0,0.0,0.0,514.0
b'\xc5\x95',0.0,0.0,0.0,41.0
b'\xc5\x96',0.0,0.0,0.0,41.0
b'\xc5\x97',0.0,0.0,0.0,13.0
b'\xc5\x98',0.0,0.0,0.0,13.0
b'\xc5\x99',0.0,0.0,0.0,35.0
b'\xc5\x9a',0.0,0.0,0.0,13.0
b'\xc5\x9b',0.0,0.0,0.0,2.0
b'\xc5\x9c',0.0,0.0,0.0,4.0
b'\xc5\x9d',0.0,0.0,0.0,8.0
b'\xc5\x9e',0.0,0.0,0.0,197.0
b'\xc5\x9f',0.0,0.0,0.0,11.0
b'\xc5\xa0',0.0,0.0,0.0,4.0
b'\xc5\xa1',0.0,0.0,0.0,37.0
b'\xc5\xa2',0.0,0.0,0.0,27.0
b'\xc5\xa3',0.0,0.0,0.0,15.0
b'\xc5\xa4',0.0,0.0,0.0,35.0
b'\xc5\xa5',0.0,0.0,0.0,35.0
b'\xc5\xa8',0.0,0.0,0.0,4.0
b'\xc5\xa9',0.0,0.0,0.0,34.0
b'\xc5\xaa',0.0,0.0,0.0,2.0
b'\xc5\xab',0.0,0.0,0.0,115.0
b'\xc5\xae',0.0,0.0,0.0,67.0
b'\xc5\xaf',0.0,0.0,0.0,28.0
b'\xc5\xb0',0.0,0.0,0.0,67.0
b'\xc5\xb1',0.0,0.0,0.0,69.0
b'\xc5\xb2',0.0,0.0,0.0,11.0
b'\xc5\xb3',0.0,0.0,0.0,47.0
b'\xc5\xb4',0.0,0.0,0.0,43.0
b'\xc5\xb5',0.0,0.0,0.0,17.0
b'\xc5\xb6',0.0,0.0,0.0,20.0
b'\xc5\xb8',0.0,0.0,0.0,42.0
b'\xc5\xbb',0.0,0.0,0.0,51.0
b'\xc5\xbc',0.0,0.0,0.0,27.0
b'\xc5\xbd',0.0,0.0,0.0,64.0
b'\xc5\xbe',0.0,0.0,0.0,40.0
b'\xc5\xbf',0.0,0.0,0.0,13.0
b'\xc6\x80',0.0,0.0,0.0,3.0
b'\xc6\x81',0.0,0.0,0.0,3.0
b'\xc6\x84',0.0,0.0,0.0,51.0
b'\xc6\x85',0.0,0.0,0.0,2.0
b'\xc6\x86',0.0,0.0,0.0,2.0
b'\xc6\x87',0.0,0.0,0.0,2.0
b'\xc6\x88',0.0,0.0,0.0,2.0
b'\xc6\x89',0.0,0.0,0.0,2.0
b'\xc6\x8a',0.0,0.0,0.0,1.0
b'\xc6\x8b',0.0,0.0,0.0,1.0
b'\xc6\x8c',0.0,0.0,0.0,2.0
b'\xc6\x8d',0.0,0.0,0.0,2.0
b'\xc6\x8e',0.0,0.0,0.0,2.0
b'\xc6\x8f',0.0,0.0,0.0,2.0
b'\xc6\x92',0.0,0.0,0.0,430.0
b'\xc6\x93',0.0,0.0,0.0,135.0
b'\xc6\x94',0.0,0.0,0.0,36.0
b'\xc6\x95',0.0,0.0,0.0,131.0
b'\xc6\x96',0.0,0.0,0.0,129.0
b'\xc6\x97',0.0,0.0,0.0,91.0
b'\xc6\x98',0.0,0.0,0.0,125.0
b'\xc6\x99',0.0,0.0,0.0,111.0
b'\xc6\x9a',0.0,0.0,0.0,77.0
b'\xc6\x9b',0.0,0.0,0.0,10.0
b'\xc6\x9c',0.0,0.0,0.0,61.0
b'\xc6\x9d',0.0,0.0,0.0,6.0
b'\xc6\x9e',0.0,0.0,0.0,3.0
b'\xc6\x9f',0.0,0.0,0.0,1.0
b'\xc6\xa0',0.0,0.0,0.0,20.0
b'\xc6\xa1',0.0,0.0,0.0,11.0
b'\xc6\xa2',0.0,0.0,0.0,18.0
b'\xc6\xa3',0.0,0.0,0.0,17.0
b'\xc6\xa4',0.0,0.0,0.0,7.0
b'\xc6\xa5',0.0,0.0,0.0,9.0
b'\xc6\xa6',0.0,0.0,0.0,13.0
b'\xc6\xa7',0.0,0.0,0.0,4.0
b'\xc6\xa8',0.0,0.0,0.0,7.0
b'\xc6\xa9',0.0,0.0,0.0,13.0
b'\xc6\xaa',0.0,0.0,0.0,1.0
b'\xc6\xab',0.0,0.0,0.0,11.0
b'\xc6\xac',0.0,0.0,0.0,8.0
b'\xc6\xad',0.0,0.0,0.0,11.0
b'\xc6\xae',0.0,0.0,0.0,17.0
b'\xc6\xaf',0.0,0.0,0.0,12.0
