,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.12903225806451613,0.09302325581395349,0.1081081081081081,43.0
b'\xc2\xa3',0.0,0.0,0.0,2.0
b'\xc2\xa4',0.0,0.0,0.0,2.0
b'\xc2\xa5',0.0,0.0,0.0,2.0
b'\xc2\xa6',0.0,0.0,0.0,1.0
b'\xc2\xa9',0.0,0.0,0.0,1.0
b'\xc2\xaa',0.0,0.0,0.0,9.0
b'\xc2\xab',0.0,0.0,0.0,1.0
b'\xc2\xac',0.0,0.0,0.0,1.0
b'\xc2\xad',0.0,0.0,0.0,1.0
b'\xc2\xae',0.0,0.0,0.0,1.0
b'\xc2\xb0',0.0,0.0,0.0,4.0
b'\xc2\xb1',0.0,0.0,0.0,1.0
b'\xc2\xb2',0.0,0.0,0.0,3.0
b'\xc2\xb4',0.0,0.0,0.0,8.0
b'\xc2\xb5',0.0,0.0,0.0,1.0
b'\xc2\xb6',0.0,0.0,0.0,45.0
b'\xc2\xb7',0.0,0.0,0.0,34.0
b'\xc2\xb8',0.0,0.0,0.0,15.0
b'\xc2\xb9',0.0,0.0,0.0,21.0
b'\xc2\xba',0.5192629815745393,0.5762081784386617,0.5462555066079294,538.0
b'\xc2\xbb',0.6563467492260062,0.726027397260274,0.6894308943089431,584.0
b'\xc2\xbc',0.4448462929475588,0.4241379310344828,0.4342453662842013,580.0
b'\xc2\xbd',0.0,0.0,0.0,524.0
b'\xc2\xbe',0.046610169491525424,0.4583333333333333,0.08461538461538462,72.0
b'\xc2\xbf',0.0,0.0,0.0,210.0
b'\xc3\x80',0.0,0.0,0.0,128.0
b'\xc3\x81',0.17857142857142858,0.20833333333333334,0.1923076923076923,72.0
b'\xc3\x82',0.0,0.0,0.0,358.0
b'\xc3\x83',0.0,0.0,0.0,243.0
b'\xc3\x84',0.24289405684754523,0.5356125356125356,0.33422222222222225,351.0
b'\xc3\x85',0.0,0.0,0.0,347.0
b'\xc3\x86',0.0,0.0,0.0,1.0
b'\xc3\x87',0.5,0.027777777777777776,0.05263157894736842,36.0
b'\xc3\x88',0.0,0.0,0.0,99.0
b'\xc3\x89',0.0,0.0,0.0,172.0
b'\xc3\x8a',0.0,0.0,0.0,11.0
b'\xc3\x8b',0.0,0.0,0.0,6.0
b'\xc3\x8c',0.0,0.0,0.0,530.0
b'\xc3\x8d',0.0,0.0,0.0,224.0
b'\xc3\x8e',0.0,0.0,0.0,140.0
b'\xc3\x8f',0.0,0.0,0.0,165.0
b'\xc3\x90',0.05661192739844425,0.6485148514851485,0.1041335453100159,202.0
b'\xc3\x91',0.15736040609137056,0.7045454545454546,0.2572614107883817,176.0
b'\xc3\x92',0.006369426751592357,0.047619047619047616,0.011235955056179777,21.0
b'\xc3\x93',0.0,0.0,0.0,1.0
b'\xc3\x94',0.0,0.0,0.0,1.0
b'\xc3\x95',0.0,0.0,0.0,1.0
b'\xc3\x96',0.09509433962264151,0.23595505617977527,0.13555675094136632,534.0
b'\xc3\x97',0.0,0.0,0.0,20.0
b'\xc3\x98',0.0,0.0,0.0,40.0
b'\xc3\x99',0.0,0.0,0.0,41.0
b'\xc3\x9a',0.0,0.0,0.0,35.0
b'\xc3\x9b',0.0,0.0,0.0,10.0
b'\xc3\x9c',0.0,0.0,0.0,9.0
b'\xc3\x9d',0.0,0.0,0.0,86.0
b'\xc3\x9e',0.0,0.0,0.0,0.0
b'\xc3\xa0',0.125,0.00211864406779661,0.004166666666666667,472.0
b'\xc3\xa1',0.0,0.0,0.0,254.0
b'\xc3\xa2',0.0,0.0,0.0,1.0
b'\xc3\xa3',0.1151560178306092,0.33695652173913043,0.17165005537098563,460.0
b'\xc3\xa4',0.0,0.0,0.0,0.0
b'\xc3\xa5',0.0,0.0,0.0,4.0
b'\xc3\xa6',0.0,0.0,0.0,16.0
b'\xc3\xa7',0.0,0.0,0.0,15.0
b'\xc3\xa8',0.0,0.0,0.0,324.0
b'\xc3\xa9',0.0,0.0,0.0,323.0
b'\xc3\xaa',0.0649171270718232,0.31756756756756754,0.1077981651376147,148.0
b'\xc3\xab',0.07128712871287128,0.24324324324324326,0.11026033690658499,148.0
b'\xc3\xac',0.0,0.0,0.0,19.0
b'\xc3\xad',0.0,0.0,0.0,1.0
b'\xc3\xae',0.0,0.0,0.0,1.0
b'\xc3\xaf',0.3559322033898305,0.04805491990846682,0.0846774193548387,437.0
b'\xc3\xb0',0.0,0.0,0.0,3.0
b'\xc3\xb1',0.0,0.0,0.0,1.0
b'\xc3\xb2',0.0,0.0,0.0,2.0
b'\xc3\xb3',0.0,0.0,0.0,2.0
b'\xc3\xb4',0.19470404984423675,0.2670940170940171,0.2252252252252252,468.0
b'\xc3\xb5',0.14629948364888123,0.18162393162393162,0.16205910390848424,468.0
b'\xc3\xb6',0.24263431542461006,0.3010752688172043,0.2687140115163148,465.0
b'\xc3\xb8',0.0,0.0,0.0,3.0
b'\xc3\xb9',0.0,0.0,0.0,1.0
b'\xc3\xba',0.0,0.0,0.0,1.0
b'\xc3\xbb',0.0,0.0,0.0,1.0
b'\xc3\xbc',0.0,0.0,0.0,4.0
b'\xc3\xbd',0.13383458646616542,0.2109004739336493,0.16375344986200552,422.0
b'\xc3\xbe',0.0,0.0,0.0,12.0
b'\xc3\xbf',0.05263157894736842,0.02127659574468085,0.030303030303030304,47.0
b'\xc4\x80',0.06451612903225806,0.0425531914893617,0.05128205128205128,47.0
b'\xc4\x81',0.0,0.0,0.0,47.0
b'\xc4\x82',0.0,0.0,0.0,7.0
b'\xc4\x83',0.0,0.0,0.0,1.0
b'\xc4\x84',0.0,0.0,0.0,1.0
b'\xc4\x85',0.0,0.0,0.0,47.0
b'\xc4\x86',0.0,0.0,0.0,7.0
b'\xc4\x87',0.0,0.0,0.0,31.0
b'\xc4\x88',0.0,0.0,0.0,4.0
b'\xc4\x89',0.0,0.0,0.0,30.0
b'\xc4\x8a',0.0,0.0,0.0,1.0
b'\xc4\x8b',0.0,0.0,0.0,12.0
b'\xc4\x8c',0.0,0.0,0.0,12.0
b'\xc4\x8d',0.04,0.021739130434782608,0.028169014084507043,46.0
b'\xc4\x8e',0.0,0.0,0.0,46.0
b'\xc4\x8f',0.04691358024691358,0.7916666666666666,0.08857808857808858,24.0
b'\xc4\x90',0.3431372549019608,0.2494061757719715,0.2888583218707015,421.0
b'\xc4\x91',0.0,0.0,0.0,177.0
b'\xc4\x92',0.27807486631016043,0.2275711159737418,0.2503008423586041,457.0
b'\xc4\x93',0.13895781637717122,0.2711864406779661,0.18375717801476618,413.0
b'\xc4\x94',0.0,0.0,0.0,18.0
b'\xc4\x95',0.01440329218106996,0.06481481481481481,0.02356902356902357,108.0
b'\xc4\x96',0.0,0.0,0.0,323.0
b'\xc4\x97',0.0,0.0,0.0,156.0
b'\xc4\x98',0.0,0.0,0.0,238.0
b'\xc4\x99',0.0,0.0,0.0,49.0
b'\xc4\x9a',0.1,0.002898550724637681,0.005633802816901408,345.0
b'\xc4\x9b',0.0,0.0,0.0,62.0
b'\xc4\x9c',0.0,0.0,0.0,15.0
b'\xc4\x9d',0.0,0.0,0.0,15.0
b'\xc4\x9e',0.0,0.0,0.0,62.0
b'\xc4\x9f',0.0,0.0,0.0,159.0
b'\xc4\xa0',0.0,0.0,0.0,451.0
b'\xc4\xa1',0.0,0.0,0.0,1.0
b'\xc4\xa2',0.0,0.0,0.0,1.0
b'\xc4\xa3',0.0,0.0,0.0,1.0
b'\xc4\xa4',0.029411764705882353,0.0035842293906810036,0.006389776357827476,279.0
b'\xc4\xa5',0.0,0.0,0.0,72.0
b'\xc4\xa6',0.0,0.0,0.0,174.0
b'\xc4\xa7',0.08808290155440414,0.15315315315315314,0.1118421052631579,444.0
b'\xc4\xa8',0.0,0.0,0.0,169.0
b'\xc4\xa9',0.07179487179487179,0.12612612612612611,0.0915032679738562,444.0
b'\xc4\xaa',0.0,0.0,0.0,274.0
b'\xc4\xab',0.0,0.0,0.0,267.0
b'\xc4\xac',0.0,0.0,0.0,274.0
b'\xc4\xad',0.0,0.0,0.0,6.0
b'\xc4\xae',0.0,0.0,0.0,108.0
b'\xc4\xaf',0.0,0.0,0.0,192.0
b'\xc4\xb0',0.058319039451114926,0.19101123595505617,0.08935611038107753,178.0
b'\xc4\xb1',0.0,0.0,0.0,1.0
b'\xc4\xb2',0.023745277927684834,0.32116788321167883,0.04422110552763819,137.0
