CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau
3862810,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3865040,2,b'\xc2\xbd',b'\xc2\xba',0.0,0.0,0.0
3866152,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3867254,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3877877,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3886319,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3886793,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3888328,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3905172,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3906593,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3912651,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3917650,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3930617,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3933818,2,b'\xc3\x85',b'\xc2\xba',0.0,0.0,0.0
3934376,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3936846,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3944991,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3946917,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3956795,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3959188,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3961131,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3971688,2,b'\xc2\xbe',b'\xc2\xba',0.0,0.0,0.0
3983056,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3985429,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3987090,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3989495,2,b'\xc2\xbb',b'\xc2\xba',0.0,0.0,0.0
3990464,2,b'\xc6\x96',b'\xc2\xba',0.0,0.0,0.0
3995764,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3996339,2,b'\xc3\x85',b'\xc2\xba',0.0,0.0,0.0
3998742,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
3999520,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4000849,2,b'\xc3\x8c',b'\xc2\xba',0.0,0.0,0.0
4002474,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4018622,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4022302,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4023204,2,b'\xc5\x9e',b'\xc2\xba',0.0,0.0,0.0
4024862,2,b'\xc3\x85',b'\xc2\xba',0.0,0.0,0.0
