,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,17.0
b'\xc2\xa3',0.1,0.07692307692307693,0.08695652173913043,13.0
b'\xc2\xa5',0.0,0.0,0.0,7.0
b'\xc2\xa6',0.0,0.0,0.0,1.0
b'\xc2\xa7',0.7531270572745227,0.8916601714731099,0.8165596002855103,1283.0
b'\xc2\xa8',0.0,0.0,0.0,2.0
b'\xc2\xa9',0.7442528735632183,0.6943699731903485,0.7184466019417476,373.0
b'\xc2\xaa',0.3333333333333333,0.010101010101010102,0.019607843137254905,297.0
accuracy,0.7059708981435022,0.7059708981435022,0.7059708981435022,0.7059708981435022
macro avg,0.21452369601900828,0.18589491463194951,0.18239672967818257,1993.0
weighted avg,0.6744447246975881,0.7059708981435022,0.6636129020998268,1993.0
