,precision,recall,f1-score,support
b'!',0.0,0.0,0.0,1268.0
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,17.0
b'\xc2\xa3',0.0,0.0,0.0,13.0
b'\xc2\xa5',0.0,0.0,0.0,7.0
b'\xc2\xa6',0.0,0.0,0.0,1.0
b'\xc2\xa7',0.7655807365439093,0.8425565081839439,0.802226345083488,1283.0
b'\xc2\xa8',0.0,0.0,0.0,2.0
b'\xc2\xa9',0.6340956340956341,0.8176943699731903,0.7142857142857143,373.0
b'\xc2\xaa',0.0,0.0,0.0,297.0
accuracy,0.4250229990800368,0.4250229990800368,0.4250229990800368,0.4250229990800368
macro avg,0.13996763706395435,0.1660250878157134,0.15165120593692022,3261.0
weighted avg,0.37373742916390895,0.4250229990800368,0.3973274983657426,3261.0
