,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,97.0
b'\xc2\xa3',0.0,0.0,0.0,54.0
b'\xc2\xa5',0.0,0.0,0.0,22.0
b'\xc2\xa6',0.0,0.0,0.0,6.0
b'\xc2\xa7',0.40986908358509566,0.44047619047619047,0.424621804903495,1848.0
b'\xc2\xa8',0.0,0.0,0.0,6.0
b'\xc2\xa9',0.8322147651006712,0.08184818481848184,0.14903846153846154,1515.0
b'\xc2\xaa',0.0,0.0,0.0,787.0
accuracy,0.21637831603229526,0.21637831603229526,0.21637831603229526,0.21637831603229526
macro avg,0.13800931652064075,0.05803604169940804,0.06374002960466184,4335.0
weighted avg,0.4655694199752649,0.21637831603229526,0.2331013528702256,4335.0
