CaseID,Prefix length,Groud truth,Predicted,Levenshtein,Damerau
1491,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1539,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
155,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1567,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1670,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1672,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1692,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1720,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1734,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1796,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1806,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1821,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1832,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1846,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1849,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
185,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1865,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
1919,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2001,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2018,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2019,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2048,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
205,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
206,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2067,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2119,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2132,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2147,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2173,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2199,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2207,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2209,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2213,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2269,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2271,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2292,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2310,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2311,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2319,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2361,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2379,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2380,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2414,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2435,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2439,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2442,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2443,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2467,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2468,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2470,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2471,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2500,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2519,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2520,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
258,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2584,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2589,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
26,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2619,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2655,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
2678,2,b'\xc2\xaa',b'\xc2\xa7',0.0,0.0,0.0
