,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,97.0
b'\xc2\xa3',0.0,0.0,0.0,54.0
b'\xc2\xa5',0.0,0.0,0.0,22.0
b'\xc2\xa6',0.0,0.0,0.0,6.0
b'\xc2\xa7',0.45169464681659804,0.7716450216450217,0.5698301698301699,1848.0
b'\xc2\xa8',0.0,0.0,0.0,6.0
b'\xc2\xa9',0.0,0.0,0.0,1515.0
b'\xc2\xaa',0.0,0.0,0.0,787.0
accuracy,0.3289504036908881,0.3289504036908881,0.3289504036908881,0.3289504036908881
macro avg,0.05018829409073312,0.08573833573833574,0.06331446331446332,4335.0
weighted avg,0.19255633386783697,0.3289504036908881,0.2429172211871174,4335.0
