,precision,recall,f1-score,support
b'',0.0,0.0,0.0,0.0
b'\xc2\xa2',0.0,0.0,0.0,97.0
b'\xc2\xa3',0.0,0.0,0.0,54.0
b'\xc2\xa5',0.0,0.0,0.0,22.0
b'\xc2\xa6',0.0,0.0,0.0,6.0
b'\xc2\xa7',0.42141671278361925,0.8241341991341992,0.5576711827169536,1848.0
b'\xc2\xa8',0.0,0.0,0.0,6.0
b'\xc2\xa9',0.8402777777777778,0.07986798679867987,0.14587100663050032,1515.0
b'\xc2\xaa',0.0,0.0,0.0,787.0
accuracy,0.3792387543252595,0.3792387543252595,0.3792387543252595,0.3792387543252595
macro avg,0.14018827672904413,0.10044468732587546,0.07817135437193933,4335.0
weighted avg,0.47331001581487003,0.3792387543252595,0.2887130151571253,4335.0
